sku,name,description,shortDescription,categoryName,regularPrice,memberPrice,stockQuantity,lowStockAlert,weight,dimensions,featured,isPromotional,isQualifyingForMembership,promotionalPrice,promotionStartDate,promotionEndDate,memberOnlyUntil,earlyAccessStart,metaTitle,metaDescription
JRM-0001,Mega Ratu,Minuman botanical berperisa berries,Minuman kesihatan berperisa berries,JRM HOLISTIK,120.00,110.00,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0002,Kurma Dhuha,Kurma berkualiti tinggi,Kurma premium untuk kesihatan,RUMAH HUTAN,100.00,100.00,100,10,0.5,10x10x5,TRUE,FALSE,FALSE,,,,,,,
JRM-0003,Royal V,Minuman botanical campuran buah-buahan. Simpan di dalam suhu bilik atau chiller untuk menjaga kualiti produk,Minuman campuran buah-buahan botanical,JRM HOLISTIK,89.00,84.50,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0004,Mushtanir,Sesuai diambil lelaki dan perempuan. Bermula dari usia 5 tahun ke atas,Minuman kesihatan untuk semua umur,JRM HOLISTIK,120.00,108.00,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0005,Kopi Ratu,Mengandungi kafein yang rendah (4mg). Simpan di dalam suhu bilik untuk mengekalkan kualiti produk. Boleh dibancuh dengan air panas atau air sejuk mengikut kesesuaian tekak masing-masing,Kopi Pra Campuran JRM Holistik,JRM HOLISTIK,48.00,44.40,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0006,Nutri Hi-B (1 kotak Nutri Hi B),"Campuran buah delima, beri goji, ekstrak bunga raya, kurma merah dan roselle","Campuran buah delima, beri goji dan herba",JRM HOLISTIK,150.00,142.50,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0007,Nutri Hi-B (1 botol),"Campuran minuman buah delima, beri goji, ekstrak bunga raya, kurma merah dan roselle",Minuman buah delima dan beri goji,JRM HOLISTIK,11.00,10.40,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0008,Charmello Dark Chocolate,Minuman berperisa dark chocolate. Produk baru menggantikan Chocolate fiber,Minuman coklat gelap berkualiti,JRM HOLISTIK,80.00,74.40,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0009,Flexi Drink (1 box Flexi Drink),"Minuman berperisa markisa untuk memberikan tenaga dalam menjalankan aktiviti seharian. Flexy Drink ialah suplemen kecantikan kolagen yang dirumus khas untuk melembapkan kulit, menguatkan sendi dan mencantikkan rambut serta kuku. Kelebihan utama: menganjalkan dan mencerahkan kulit, mengurangkan garis halus dan kedutan, merangsang keratin untuk pertumbuhan rambut dan kuku yang sihat, mengurangkan keguguran rambut, menguatkan sendi dan otot, melancarkan sistem pencernaan dan mempercepatkan pembaikan sel.",Suplemen kolagen untuk kecantikan dan kesihatan,JRM HOLISTIK,130.00,123.50,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0010,Flexi Drink (1 botol),"Minuman campuran buah markisa, pic dan tomato putih","Minuman campuran buah markisa, pic dan tomato",JRM HOLISTIK,9.50,9.00,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0011,Colonis Dmestica,Produk minuman berperisa mango dan mengandungi psyllium husk. Bancuh setengah scoop Colonis Dmestica dengan segelas 180ml air. Boleh diminum panas atau sejuk mengikut kesesuaian dan citarasa pengguna,Minuman mango dengan psyllium husk,JRM HOLISTIK,80.00,72.00,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0012,Kopi Demarco,Kopi untuk wanita dan lelaki,Kopi premium untuk semua,JRM HOLISTIK,38.00,36.10,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0013,Kopi Romagella,Kopi Romagella adalah gabungan kopi premium dan extract buah strawberry yang memberikan rasa wow apabila meminumnya. Kopi Romagella mempunyai kandungan kafein yang rendah (2mg) sahaja dan sangat sesuai untuk orang yang baru hendak belajar minum kopi atau yang allergic dengan kafein. Kopi ini boleh diminum pada waktu malam dan memberikan mood dan rehat dan relaks kepada penggunanya,Kopi strawberry rendah kafein untuk relaksasi,JRM HOLISTIK,45.00,40.50,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0014,Putik Telaga Dara,"Isipadu 100ml. Formulasi yang dipertingkatkan dengan penambahan ekstrak pucuk daun jambu batu dan garam magnesium. Manfaat: menghalang pertumbuhan jerawat dan bakteria, mengurangkan kesan kemerahan dan kegatalan pada kulit, mengatasi masalah berbau, melembap dan mencerahkan kulit, mengekalkan kebersihan kawasan intim wanita, menggalakan detoksifikasi dengan menarik keluar toksin dari lapisan kulit, meningkatkan hidrasi dan keremajaan kulit.",Pencuci intim wanita dengan ekstrak herba,JRM HOLISTIK,32.00,30.40,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0015,Minyak Jatro Phora,Untuk mengurut anggota badan yang mengalami masalah ketumbuhan,Minyak urutan untuk masalah ketumbuhan,JRM HOLISTIK,150.00,150.00,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0016,Invy Intimate Spray,"Pencuci untuk bahagian intim wanita. Merangsang kolagen dan penjagaan bahagian intim. Bersifat antibakteria, membantu menghalang jangkitan bakteria jahat yang menyebabkan bau kurang enak, kegatalan dan keputihan. PH optimum 4.0-5.0",Pencuci intim spray antibakteria,JRM HOLISTIK,95.00,90.25,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
